object_name,collection,zone,cx,cy,bottom_z,ground_z,gap_m,action
Lib_Shrub_07.004,Collection,A_crater,-179.96,122.01,-1.415,-103.2,101.785,manual_review_wall
Lib_Shrub_06.002,Collection,A_crater,-160.05,175.16,-1.421,-103.2,101.779,manual_review_wall
Lib_Rock_09.003,Collection,A_crater,-126.62,118.72,-1.434,-103.2,101.766,manual_review_wall
Lib_Shrub_04.002,Collection,A_crater,-185.72,128.38,-1.467,-103.2,101.733,manual_review_wall
Lib_Rock_07.005,Collection,A_crater,-137.18,118.17,-1.609,-103.2,101.591,manual_review_wall
Lib_Shrub_07.006,Collection,A_crater,-142.17,119.24,-1.646,-103.2,101.554,manual_review_wall
Lib_Shrub_07.003,Collection,A_crater,-133.46,123.67,-1.713,-103.2,101.487,manual_review_wall
Lib_Shrub_05.001,Collection,A_crater,-174.3,117.24,-1.411,-102.897,101.486,manual_review_wall
Lib_Shrub_02.003,Collection,A_crater,-171.55,163.93,-1.751,-103.2,101.449,manual_review_wall
Lib_Tree_03.003,Collection,A_crater,-181.62,142.65,-1.786,-103.2,101.414,manual_review_wall
Lib_Rock_07.003,Collection,A_crater,-140.6,165.96,-1.866,-103.2,101.334,manual_review_wall
Lib_Shrub_06.001,Collection,A_crater,-145.51,164.37,-1.901,-103.2,101.299,manual_review_wall
Lib_Shrub_06.003,Collection,A_crater,-168.85,157.93,-1.954,-103.2,101.246,manual_review_wall
Lib_Rock_05.002,Collection,A_crater,-134.72,160.66,-1.97,-103.2,101.23,manual_review_wall
Lib_Rock_04.004,Collection,A_crater,-129.68,156.45,-1.977,-103.2,101.223,manual_review_wall
Lib_Rock_07.006,Collection,A_crater,-163.13,151.18,-2.309,-103.2,100.891,manual_review_wall
Lib_Tree_07.002,Collection,A_crater,-139.62,147.19,-2.44,-103.2,100.76,manual_review_wall
Lib_Tree_04.005,Collection,A_crater,-154.36,150.54,-2.53,-103.2,100.67,manual_review_wall
Lib_Shrub_07.005,Collection,A_crater,-129.15,174.76,-1.419,-82.616,81.197,manual_review_wall
Lib_Tree_18.001,Collection,A_crater,-174.79,171.41,-25.391,-103.2,77.809,manual_review_wall
Bush_Old_008,Collection,D_forest,85.17,-64.32,46.313,13.315,32.998,snap_bottom
Ribera_22_-1_1,Collection,B_gorge,36.49,21.38,18.449,-14.34,32.789,manual_review_wall
Ribera_22_-1_2,Collection,B_gorge,35.98,22.05,18.377,-14.383,32.76,manual_review_wall
Ribera_22_-1_3,Collection,B_gorge,36.71,20.71,18.442,-14.308,32.751,manual_review_wall
Ribera_22_-1_0,Collection,B_gorge,37.46,20.16,18.325,-14.273,32.598,manual_review_wall
Bush_Old_159,Collection,B_gorge,46.68,14.46,20.084,-12.161,32.244,manual_review_wall
Ribera_22_1_2,Collection,B_gorge,25.75,33.78,14.828,-17.039,31.867,manual_review_wall
Ribera_22_1_1,Collection,B_gorge,27.53,32.41,15.556,-16.101,31.657,manual_review_wall
Rock_Old_115,Collection,D_forest,80.9,-62.6,45.012,13.405,31.607,snap_bottom
Ribera_21_1_1,Collection,B_gorge,21.78,27.82,13.445,-17.927,31.372,manual_review_wall
Ribera_21_1_0,Collection,B_gorge,21.47,28.51,13.264,-18.092,31.357,manual_review_wall
